country,WBCode,1996 Estimate,1996 StdErr,1996 NumSrc,1996 Rank,1996 Lower,1996 Upper,1998 Estimate,1998 StdErr,1998 NumSrc,1998 Rank,1998 Lower,1998 Upper,2000 Estimate,2000 StdErr,2000 NumSrc,2000 Rank,2000 Lower,2000 Upper,2002 Estimate,2002 StdErr,2002 NumSrc,2002 Rank,2002 Lower,2002 Upper,2003 Estimate,2003 StdErr,2003 NumSrc,2003 Rank,2003 Lower,2003 Upper,2004 Estimate,2004 StdErr,2004 NumSrc,2004 Rank,2004 Lower,2004 Upper,2005 Estimate,2005 StdErr,2005 NumSrc,2005 Rank,2005 Lower,2005 Upper,2006 Estimate,2006 StdErr,2006 NumSrc,2006 Rank,2006 Lower,2006 Upper,2007 Estimate,2007 StdErr,2007 NumSrc,2007 Rank,2007 Lower,2007 Upper,2008 Estimate,2008 StdErr,2008 NumSrc,2008 Rank,2008 Lower,2008 Upper,2009 Estimate,2009 StdErr,2009 NumSrc,2009 Rank,2009 Lower,2009 Upper,2010 Estimate,2010 StdErr,2010 NumSrc,2010 Rank,2010 Lower,2010 Upper,2011 Estimate,2011 StdErr,2011 NumSrc,2011 Rank,2011 Lower,2011 Upper,2012 Estimate,2012 StdErr,2012 NumSrc,2012 Rank,2012 Lower,2012 Upper,2013 Estimate,2013 StdErr,2013 NumSrc,2013 Rank,2013 Lower,2013 Upper
BRAZIL,BRA,-0.07,0.23,5.00,56.10,37.86,65.05,0.00,0.18,6.00,60.98,43.20,65.05,0.02,0.21,7.00,59.51,47.57,66.02,0.01,0.17,7.00,58.54,48.06,63.59,0.10,0.17,8.00,59.02,51.46,68.45,0.05,0.16,10.00,57.07,50.00,65.05,-0.17,0.16,10.00,51.71,40.78,57.77,-0.14,0.14,14.00,54.15,43.20,60.68,-0.12,0.15,13.00,55.34,43.00,59.90,-0.02,0.15,13.00,58.25,49.28,63.29,-0.12,0.16,14.00,55.50,43.33,62.86,0.00,0.16,15.00,58.57,49.76,65.40,0.15,0.15,16.00,63.03,56.13,68.87,-0.07,0.14,15.00,56.46,48.10,62.86,-0.12,0.14,15.00,55.02,48.57,61.90
BRUNEI DARUSSALAM,BRN,0.54,0.47,2.00,72.20,44.66,86.89,0.38,0.46,2.00,66.34,40.78,83.98,0.39,0.46,2.00,68.78,45.63,84.95,0.30,0.39,2.00,65.37,44.17,82.52,0.29,0.35,2.00,64.39,48.54,80.10,0.41,0.35,2.00,69.76,51.46,83.01,0.26,0.29,2.00,62.44,50.97,73.30,0.23,0.35,2.00,63.41,44.66,77.67,0.24,0.36,2.00,63.11,45.41,78.26,0.54,0.27,4.00,72.82,60.87,79.71,1.02,0.23,5.00,80.86,72.86,90.00,0.89,0.22,5.00,79.52,72.04,86.26,0.88,0.22,5.00,78.20,71.70,85.38,0.64,0.21,4.00,72.25,64.76,81.43,0.72,0.21,4.00,74.16,67.14,80.95
BULGARIA,BGR,-0.78,0.30,3.00,25.85,5.83,43.20,-0.24,0.19,5.00,47.32,35.92,61.65,-0.21,0.20,7.00,51.71,33.50,62.62,-0.20,0.16,7.00,51.71,38.83,61.17,-0.07,0.15,8.00,55.12,46.60,61.17,0.10,0.15,9.00,58.05,52.91,66.99,0.06,0.14,9.00,57.07,51.46,63.59,-0.10,0.13,13.00,55.61,45.15,60.68,-0.23,0.13,13.00,52.43,40.58,57.49,-0.30,0.12,13.00,47.09,37.68,56.04,-0.25,0.13,13.00,51.20,39.05,58.57,-0.21,0.13,13.00,52.38,42.18,58.77,-0.23,0.12,14.00,53.08,40.09,57.08,-0.24,0.12,14.00,52.15,41.90,57.62,-0.29,0.13,13.00,49.76,38.57,55.71
BURKINA FASO,BFA,0.22,0.47,2.00,64.39,31.07,83.01,-0.24,0.33,4.00,46.83,25.24,65.05,-0.14,0.31,4.00,54.63,30.10,66.99,-0.02,0.31,4.00,57.07,35.44,69.90,-0.03,0.25,5.00,56.59,42.72,67.96,-0.15,0.22,7.00,52.68,36.89,61.65,-0.09,0.22,7.00,54.15,39.32,63.11,-0.33,0.16,11.00,44.88,33.98,56.80,-0.35,0.16,11.00,45.15,32.37,57.49,-0.33,0.15,12.00,45.15,32.85,56.04,-0.38,0.16,12.00,42.58,29.05,55.71,-0.39,0.16,12.00,43.81,29.86,54.98,-0.39,0.16,13.00,43.13,28.30,56.13,-0.52,0.15,14.00,37.32,25.71,50.48,-0.58,0.14,14.00,33.49,22.86,48.57
BURUNDI,BDI,-1.39,0.56,1.00,4.88,0.00,33.50,-1.15,0.34,3.00,6.83,2.43,33.50,-1.01,0.33,3.00,9.76,1.94,39.32,-0.94,0.34,3.00,19.51,0.49,42.72,-1.05,0.26,4.00,10.73,2.43,33.50,-0.97,0.23,5.00,15.61,5.34,32.04,-0.90,0.23,5.00,18.54,7.28,38.35,-1.07,0.18,8.00,11.71,4.37,23.30,-1.12,0.19,9.00,9.22,3.38,21.74,-1.02,0.19,9.00,14.56,4.35,27.05,-1.07,0.19,9.00,13.40,3.33,24.76,-1.11,0.19,9.00,12.38,2.37,22.75,-1.13,0.18,10.00,10.43,2.83,20.75,-1.46,0.18,11.00,1.44,0.00,10.95,-1.39,0.17,12.00,2.39,0.00,11.90
CAMBODIA,KHM,-0.96,0.31,2.00,17.07,2.91,37.38,-1.08,0.21,3.00,8.78,2.43,26.70,-0.85,0.22,4.00,21.46,5.34,38.35,-0.99,0.18,4.00,15.12,2.43,33.01,-0.94,0.20,6.00,15.61,5.34,33.50,-1.02,0.21,7.00,14.15,5.34,27.67,-1.18,0.18,9.00,10.24,1.46,18.93,-1.23,0.15,12.00,8.29,3.40,16.02,-1.09,0.15,12.00,10.19,3.86,20.77,-1.20,0.15,13.00,6.80,3.86,16.43,-1.16,0.15,13.00,8.61,2.86,19.05,-1.23,0.15,13.00,6.67,1.90,16.11,-1.22,0.16,13.00,7.11,2.36,18.40,-1.04,0.15,13.00,14.35,4.76,24.29,-1.01,0.15,13.00,16.27,7.14,23.81
CAMEROON,CMR,-1.16,0.30,3.00,7.32,2.43,27.67,-1.04,0.20,5.00,11.22,2.43,29.13,-1.06,0.24,5.00,8.78,3.40,30.10,-1.09,0.19,5.00,9.27,0.97,29.13,-0.86,0.19,7.00,18.05,8.74,37.38,-1.07,0.19,8.00,11.71,4.85,23.30,-1.16,0.17,9.00,11.22,3.40,18.93,-1.03,0.15,11.00,14.15,6.31,23.30,-0.95,0.16,12.00,16.02,8.70,26.57,-0.94,0.16,12.00,16.99,6.76,28.50,-0.92,0.17,12.00,18.66,7.62,29.05,-0.98,0.17,12.00,16.19,5.21,27.49,-1.07,0.15,14.00,13.27,4.72,21.23,-1.27,0.15,14.00,5.74,1.43,16.19,-1.19,0.14,14.00,9.57,1.90,17.14
CANADA,CAN,2.20,0.23,5.00,97.07,93.20,100.00,2.24,0.19,5.00,97.07,93.20,100.00,2.23,0.23,5.00,95.61,92.72,100.00,2.11,0.18,5.00,95.12,92.23,99.51,2.04,0.20,5.00,94.63,92.23,98.54,1.85,0.18,6.00,92.20,91.75,97.09,1.86,0.18,6.00,94.15,92.23,97.57,1.96,0.16,9.00,94.63,91.75,98.06,1.98,0.17,10.00,94.66,92.27,98.07,1.99,0.16,10.00,95.15,92.27,98.07,2.08,0.17,10.00,96.65,93.81,99.05,2.10,0.18,10.00,96.19,93.36,99.53,2.00,0.17,11.00,95.26,92.92,99.06,1.92,0.16,11.00,95.22,92.86,97.62,1.87,0.15,10.00,95.22,91.43,97.14
CAPE VERDE,CPV,NA,NA,NA,NA,NA,NA,-0.32,0.43,2.00,42.44,12.14,66.50,0.13,0.40,2.00,62.93,34.95,80.10,0.38,0.32,4.00,68.29,53.88,82.52,0.29,0.29,4.00,64.88,51.46,76.21,0.27,0.25,5.00,63.41,53.40,76.21,0.34,0.25,5.00,65.85,55.34,73.79,0.63,0.22,6.00,73.66,65.53,80.58,0.79,0.22,6.00,74.76,70.05,85.02,0.78,0.21,6.00,75.24,69.57,83.09,0.77,0.21,6.00,74.64,70.95,82.86,0.80,0.19,7.00,74.76,71.56,82.94,0.86,0.20,7.00,77.25,71.70,83.96,0.79,0.21,7.00,74.16,70.00,82.86,0.77,0.20,8.00,74.64,69.05,80.95
CAYMAN ISLANDS,CYM,1.36,0.56,1.00,89.27,70.39,98.06,1.38,0.51,1.00,90.73,70.39,95.15,1.38,0.50,1.00,89.76,72.33,95.15,1.30,0.47,1.00,89.27,70.87,94.17,1.32,0.38,1.00,89.27,75.24,94.17,1.24,0.39,1.00,87.32,73.30,93.20,1.27,0.32,1.00,88.29,73.30,92.72,1.27,0.42,1.00,89.27,72.82,94.66,1.30,0.41,1.00,89.32,73.43,94.20,0.84,0.40,1.00,78.16,62.80,91.79,1.11,0.29,2.00,84.21,72.86,90.95,1.13,0.29,2.00,84.29,72.99,91.94,1.35,0.28,2.00,88.63,78.30,93.40,1.35,0.30,2.00,89.00,78.10,94.29,1.36,0.30,2.00,89.47,78.57,94.76
